62693271;768782;ENCONTRADO
96172393;8829421;No Encontrado
52851265;723082;ENCONTRADO
47323080;10312710;No Encontrado
58801818;8776390;No Encontrado
13745200;1864454;ENCONTRADO
02135435;402015;ENCONTRADO
49930671;9056305;No Encontrado
88948408;694853;ENCONTRADO
11790049;11331166;No Encontrado
90971321;8861065;No Encontrado
50845331;10533076;No Encontrado
39552747;10786278;No Encontrado
36632440;8412835;No Encontrado
10330566;796599;ENCONTRADO
84560101;8869547;No Encontrado
26863565;596172;ENCONTRADO
36194763;9336978;No Encontrado
61225013;9281628;No Encontrado
57388486;133684;ENCONTRADO
48860899;7656206;No Encontrado
14193974;7948377;No Encontrado
07807016;11685993;No Encontrado
79427961;10005629;No Encontrado
23285030;14052649;No Encontrado
14245246;13444104;No Encontrado
37273910;9430625;No Encontrado
06166709;9146740;No Encontrado
15585313;10249472;No Encontrado
75793686;10080204;No Encontrado
44464470;10548028;No Encontrado
19651533;496089;ENCONTRADO
84347341;600344;ENCONTRADO
63944349;10410565;No Encontrado
04396751;132268;ENCONTRADO
46353474;11719850;No Encontrado
15642720;10132943;No Encontrado
23756291;249808;ENCONTRADO
59234145;9353717;No Encontrado
35396543;838880;ENCONTRADO
56653810;755399;ENCONTRADO
95342462;12390214;No Encontrado
65708329;13722165;No Encontrado
48486390;13817025;No Encontrado
63336617;11034000;No Encontrado
26321432;16753389;No Encontrado
14360505;11743439;No Encontrado
65056605;530216;ENCONTRADO
78749067;192334;ENCONTRADO
69003456;11062950;No Encontrado
80439933;15296360;No Encontrado
77875378;132012;ENCONTRADO
85276764;13005917;No Encontrado
71807433;11917535;No Encontrado
52198052;14028191;No Encontrado
25858738;11225738;No Encontrado
45916438;1392455;ENCONTRADO
83101582;816843;ENCONTRADO
52035526;15474655;No Encontrado
68241000;13572345;No Encontrado
61579694;245962;ENCONTRADO
53822987;716426;ENCONTRADO
29592600;508245;ENCONTRADO
60975150;10134398;No Encontrado
60521195;12547567;No Encontrado
33210318;9865038;No Encontrado
31526071;8741284;No Encontrado
90795867;10343798;No Encontrado
14645187;8373096;No Encontrado
52152908;9561055;No Encontrado
72312916;11723477;No Encontrado
